x,y,z,yaw,velocity,change_flag
0.6835,-0.4543,-0.0328,-0.1607,0,0
1.7121,-0.6055,-0.0286,-0.075,1.8609,0
2.7803,-0.6933,-0.0258,-0.0889,4.0119,0
3.7881,-0.7665,-0.0374,-0.0883,2.0161,0
4.8497,-0.8607,-0.0758,-0.0844,3.002,0
5.8472,-0.9759,-0.0417,-0.0845,4.4134,0
6.8801,-1.0704,-0.027,-0.0922,4.1227,0
7.881,-1.1894,-0.0941,-0.1061,1.5129,0
8.8781,-1.2751,-0.1065,0.23,1.5662,0
9.8641,-1.0784,-0.0785,0.244,2.0776,0
10.8753,-0.9004,-0.0541,0.1161,2.6807,0
11.9125,-0.9861,-0.0331,-0.2142,2.4394,0
12.9299,-1.0622,-0.0553,0.0327,1.2743,0
13.9543,-1.0391,-0.0464,0.042,2.7573,0
14.9662,-0.9452,-0.0855,0.0518,2.2166,0
15.9953,-0.9252,-0.0627,0.0345,1.9258,0
17,-0.9143,-0.1173,0.044,3.1338,0
18.0038,-0.8399,-0.1237,0.0398,2.906,0
19.0361,-0.8054,-0.1248,0.0428,3.8421,0
20.0357,-0.7756,-0.1043,0.0319,1.5324,0
21.0399,-0.7965,-0.0646,0.0561,2.2596,0
21.8885,-0.2594,-0.0661,0.4468,8.1815,0
22.2131,0.6949,-0.0173,1.4287,2.0794,0
22.3936,1.7466,0.0424,1.4118,2.4433,0
22.5708,2.789,0.1192,1.4122,2.6326,0
22.7279,3.8131,0.1513,1.407,1.4937,0
22.7866,4.83,0.2417,1.6753,1.7275,0
22.6818,5.8349,0.2616,1.6754,2.7267,0
22.6024,6.8353,0.3012,1.6828,3.4599,0
22.4851,7.8725,0.4234,1.6698,1.8507,0
22.4147,8.9015,0.442,1.6539,2.8284,0
22.2955,9.9614,0.4506,1.6629,3.9434,0
22.1856,10.9715,0.5274,1.6569,2.9977,0
22.1097,11.9935,0.5605,1.6217,1.2324,0
22.1401,13.0617,0.6308,1.5521,3.8907,0
22.1691,14.0779,0.7356,1.5636,2.498,0
22.2817,15.0933,0.7497,1.5152,3.1882,0
22.3203,16.1154,0.8302,1.5315,1.5636,0
22.3425,17.1155,0.8771,1.535,0.6232,0
21.4699,17.6068,0.9312,3.0928,2.9186,0
